Padre	Madre	Hijos	Orden de Nacimiento	Género Hijos	Lugar de nacimiento	Significado del Nombre (Padre)	Referencia	Información Adicional	Notas
Noé		Cam	2	M	Mesopotamia	Descanso, alivio o consuelo	1 Crónicas 1 [Cruces: Noé: Génesis 5:28-32, Caps 6-9; Mateo 24:37-39; Hebreos 11:7; 1 Pedro 3:20; 2 Pedro 2:5; Lucas 3:36; Cam: Génesis 5:32, 9:22-25, 10:6-20]	Sobre el padre (Noé): Construyó el Arca para salvar a su familia y a la creación terrestre del Diluvio universal. | Sobre el hijo (Cam): Hijo de Noé; padre de Cus, Mizraim, Fut y Canaán, ancestro de pueblos africanos y cananeos.	Sentencia 1: Hijo de Noé
Noé		Jafet	3	M	Mesopotamia	Descanso, alivio o consuelo	1 Crónicas 1 [Cruces: Noé: Génesis 5:28-32, Caps 6-9; Mateo 24:37-39; Hebreos 11:7; 1 Pedro 3:20; 2 Pedro 2:5; Lucas 3:36; Jafet: Génesis 5:32, 9:27, 10:2-5]	Sobre el padre (Noé): Construyó el Arca para salvar a su familia y a la creación terrestre del Diluvio universal. | Sobre el hijo (Jafet): Hijo de Noé; ancestro de los pueblos europeos y de Asia Menor (indoeuropeos).	Sentencia 1: Hijo de Noé
Jafet		Gomer	1	M	Mesopotamia (padre)	Que él ensanche o bello	1 Crónicas 1 [Cruces: Jafet: Génesis 5:32, 9:27, 10:2-5]	Sobre el padre (Jafet): Hijo de Noé; ancestro de los pueblos europeos y de Asia Menor (indoeuropeos).	Sentencia 2: Hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras
Jafet		Magog	2	M	Mesopotamia (padre)	Que él ensanche o bello	1 Crónicas 1 [Cruces: Jafet: Génesis 5:32, 9:27, 10:2-5]	Sobre el padre (Jafet): Hijo de Noé; ancestro de los pueblos europeos y de Asia Menor (indoeuropeos).	Sentencia 2: Hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras
Jafet		Madai	3	M	Mesopotamia (padre)	Que él ensanche o bello	1 Crónicas 1 [Cruces: Jafet: Génesis 5:32, 9:27, 10:2-5]	Sobre el padre (Jafet): Hijo de Noé; ancestro de los pueblos europeos y de Asia Menor (indoeuropeos).	Sentencia 2: Hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras
Jafet		Javán	4	M	Mesopotamia (padre)	Que él ensanche o bello	1 Crónicas 1 [Cruces: Jafet: Génesis 5:32, 9:27, 10:2-5]	Sobre el padre (Jafet): Hijo de Noé; ancestro de los pueblos europeos y de Asia Menor (indoeuropeos).	Sentencia 2: Hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras
Jafet		Tubal	5	M	Mesopotamia (padre)	Que él ensanche o bello	1 Crónicas 1 [Cruces: Jafet: Génesis 5:32, 9:27, 10:2-5]	Sobre el padre (Jafet): Hijo de Noé; ancestro de los pueblos europeos y de Asia Menor (indoeuropeos).	Sentencia 2: Hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras
Jafet		Mesec	6	M	Mesopotamia (padre)	Que él ensanche o bello	1 Crónicas 1 [Cruces: Jafet: Génesis 5:32, 9:27, 10:2-5]	Sobre el padre (Jafet): Hijo de Noé; ancestro de los pueblos europeos y de Asia Menor (indoeuropeos).	Sentencia 2: Hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras
Jafet		Tiras	7	M	Mesopotamia (padre)	Que él ensanche o bello	1 Crónicas 1 [Cruces: Jafet: Génesis 5:32, 9:27, 10:2-5]	Sobre el padre (Jafet): Hijo de Noé; ancestro de los pueblos europeos y de Asia Menor (indoeuropeos).	Sentencia 2: Hijos de Jafet: Gomer, Magog, Madai, Javán, Tubal, Mesec y Tiras
Gomer		Askenaz	1	M			1 Crónicas 1		Sentencia 3: Hijos de Gomer: Askenaz, Rifat y Togarma
Gomer		Rifat	2	M			1 Crónicas 1		Sentencia 3: Hijos de Gomer: Askenaz, Rifat y Togarma
Gomer		Togarma	3	M			1 Crónicas 1		Sentencia 3: Hijos de Gomer: Askenaz, Rifat y Togarma
Javán		Elisa	1	M			1 Crónicas 1		Sentencia 4: Hijos de Javán: Elisa, Tarsis, Quitim y Dodanim
Javán		Tarsis	2	M			1 Crónicas 1		Sentencia 4: Hijos de Javán: Elisa, Tarsis, Quitim y Dodanim
Javán		Quitim	3	M			1 Crónicas 1		Sentencia 4: Hijos de Javán: Elisa, Tarsis, Quitim y Dodanim
Javán		Dodanim	4	M			1 Crónicas 1		Sentencia 4: Hijos de Javán: Elisa, Tarsis, Quitim y Dodanim
Cam		Cus	1	M	Mesopotamia (padre)	Caliente, cálido o quemado	1 Crónicas 1 [Cruces: Cam: Génesis 5:32, 9:22-25, 10:6-20]	Sobre el padre (Cam): Hijo de Noé; padre de Cus, Mizraim, Fut y Canaán, ancestro de pueblos africanos y cananeos.	Sentencia 5: Hijos de Cam: Cus, Mizraim, Fut y Canaán
Cam		Mizraim	2	M	Mesopotamia (padre)	Caliente, cálido o quemado	1 Crónicas 1 [Cruces: Cam: Génesis 5:32, 9:22-25, 10:6-20]	Sobre el padre (Cam): Hijo de Noé; padre de Cus, Mizraim, Fut y Canaán, ancestro de pueblos africanos y cananeos.	Sentencia 5: Hijos de Cam: Cus, Mizraim, Fut y Canaán
Cam		Fut	3	M	Mesopotamia (padre)	Caliente, cálido o quemado	1 Crónicas 1 [Cruces: Cam: Génesis 5:32, 9:22-25, 10:6-20]	Sobre el padre (Cam): Hijo de Noé; padre de Cus, Mizraim, Fut y Canaán, ancestro de pueblos africanos y cananeos.	Sentencia 5: Hijos de Cam: Cus, Mizraim, Fut y Canaán
Cam		Canaán	4	M	Mesopotamia (padre)	Caliente, cálido o quemado	1 Crónicas 1 [Cruces: Cam: Génesis 5:32, 9:22-25, 10:6-20]	Sobre el padre (Cam): Hijo de Noé; padre de Cus, Mizraim, Fut y Canaán, ancestro de pueblos africanos y cananeos.	Sentencia 5: Hijos de Cam: Cus, Mizraim, Fut y Canaán
Cus		Seba	1	M			1 Crónicas 1		Sentencia 6: Hijos de Cus: Seba, Havila, Sabta, Raama y Sabteca
Cus		Havila	2	M			1 Crónicas 1		Sentencia 6: Hijos de Cus: Seba, Havila, Sabta, Raama y Sabteca
Cus		Sabta	3	M			1 Crónicas 1		Sentencia 6: Hijos de Cus: Seba, Havila, Sabta, Raama y Sabteca
Cus		Raama	4	M			1 Crónicas 1		Sentencia 6: Hijos de Cus: Seba, Havila, Sabta, Raama y Sabteca
Cus		Sabteca	5	M			1 Crónicas 1		Sentencia 6: Hijos de Cus: Seba, Havila, Sabta, Raama y Sabteca
Raama		Seba	1	M			1 Crónicas 1		Sentencia 7: Hijos de Raama: Seba y Dedán
Raama		Dedán	2	M			1 Crónicas 1		Sentencia 7: Hijos de Raama: Seba y Dedán
Cus		Nimrod		M			1 Crónicas 1		Sentencia 8: Cus engendró a Nimrod, quien llegó a ser el primer prepotente  en la tierra
Sem		Elam	1	M	Mesopotamia (padre)	Nombre, renombre o fama	1 Crónicas 1 [Cruces: Sem: Génesis 5:32, 9:26-27, 10:21-31, 11:10-11; Lucas 3:36]	Sobre el padre (Sem): Hijo de Noé; de su linaje provienen los pueblos semitas y la línea de la promesa.	Sentencia 9: Los hijos de Sem: Elam, Asur, Arfaxad
Sem		Asur	2	M	Mesopotamia (padre)	Nombre, renombre o fama	1 Crónicas 1 [Cruces: Sem: Génesis 5:32, 9:26-27, 10:21-31, 11:10-11; Lucas 3:36]	Sobre el padre (Sem): Hijo de Noé; de su linaje provienen los pueblos semitas y la línea de la promesa.	Sentencia 9: Los hijos de Sem: Elam, Asur, Arfaxad
Sem		Arfaxad	3	M	Mesopotamia	Nombre, renombre o fama	1 Crónicas 1 [Cruces: Sem: Génesis 5:32, 9:26-27, 10:21-31, 11:10-11; Lucas 3:36; Arfaxad: Génesis 11:10-13, 10:22; Lucas 3:36]	Sobre el padre (Sem): Hijo de Noé; de su linaje provienen los pueblos semitas y la línea de la promesa. | Sobre el hijo (Arfaxad): Hijo de Sem, nacido dos años después del Diluvio.	Sentencia 9: Los hijos de Sem: Elam, Asur, Arfaxad
Arfaxad		Cainán (hijo de Arfaxad)		M	Canaán	Fortaleza o sanador	1 Crónicas 1 [Cruces: Arfaxad: Génesis 11:10-13, 10:22; Lucas 3:36; Cainán: Génesis 5:9-14; Lucas 3:37]	Sobre el padre (Arfaxad): Hijo de Sem, nacido dos años después del Diluvio. | Sobre el hijo (Cainán): Patriarca antediluviano, hijo de Enós y padre de Mahalaleel.	[Distinción: Cainán post-diluviano, hijo de Arfaxad — Lucas 3:36] Sentencia 10: Arfaxad engendró a Cainán, Cainán engendró a Sala, y Sala engendró a Heber
Cainán (hijo de Arfaxad)		Sala		M	Mesopotamia	Adquisición, posesión o nido	1 Crónicas 1 [Cruces: Cainán: Génesis 5:9-14; Lucas 3:37; Sala: Génesis 11:12-15, 10:24; Lucas 3:35]	Sobre el padre (Cainán): Patriarca antediluviano, hijo de Enós y padre de Mahalaleel. | Sobre el hijo (Sala): Hijo de Arfaxad y padre de Heber.	Sentencia 10: Arfaxad engendró a Cainán, Cainán engendró a Sala, y Sala engendró a Heber
Sala		Heber		M	Mesopotamia	Brote, retoño o enviado	1 Crónicas 1 [Cruces: Sala: Génesis 11:12-15, 10:24; Lucas 3:35; Heber: Génesis 11:14-17, 10:24-25; Lucas 3:35]	Sobre el padre (Sala): Hijo de Arfaxad y padre de Heber. | Sobre el hijo (Heber): Ancestro epónimo de los hebreos, hijo de Sala.	Sentencia 10: Arfaxad engendró a Cainán, Cainán engendró a Sala, y Sala engendró a Heber
Heber		Peleg		M	Mesopotamia	El que cruza / Del otro lado	1 Crónicas 1 [Cruces: Heber: Génesis 11:14-17, 10:24-25; Lucas 3:35; Peleg: Génesis 11:16-19, 10:25; Lucas 3:35]	Sobre el padre (Heber): Ancestro epónimo de los hebreos, hijo de Sala. | Sobre el hijo (Peleg): Hijo de Heber; llamado así porque en sus días la población de la tierra fue dividida (Torre de Babel).	Sentencia 11: Heber es padre de Peleg
Peleg		Reu		M	Mesopotamia	División o canal	1 Crónicas 1 [Cruces: Peleg: Génesis 11:16-19, 10:25; Lucas 3:35; Reu: Génesis 11:18-21; Lucas 3:35]	Sobre el padre (Peleg): Hijo de Heber; llamado así porque en sus días la población de la tierra fue dividida (Torre de Babel). | Sobre el hijo (Reu): Hijo de Peleg y antepasado directo de Abraham.	Sentencia 11: Peleg es padre de Reu
Reu		Serug		M	Mesopotamia	Amigo, compañero o pastor	1 Crónicas 1 [Cruces: Reu: Génesis 11:18-21; Lucas 3:35; Serug: Génesis 11:20-23; Lucas 3:35]	Sobre el padre (Reu): Hijo de Peleg y antepasado directo de Abraham. | Sobre el hijo (Serug): Hijo de Reu y bisabuelo de Abraham.	Sentencia 11: Reu es padre de Serug
Serug		Nacor		M	Ur de los Caldeos	Rama, brote o entrelazado	1 Crónicas 1 [Cruces: Serug: Génesis 11:20-23; Lucas 3:35; Nacor: Génesis 11:22-25; Lucas 3:34]	Sobre el padre (Serug): Hijo de Reu y bisabuelo de Abraham. | Sobre el hijo (Nacor): Hijo de Serug y abuelo del patriarca Abraham.	Sentencia 11: Serug es padre de Nacor
Nacor		Taré		M	Ur de los Caldeos	Resoplador, jadeante	1 Crónicas 1 [Cruces: Nacor: Génesis 11:22-25; Lucas 3:34; Taré: Génesis 11:24-32; Josué 24:2; Lucas 3:34]	Sobre el padre (Nacor): Hijo de Serug y abuelo del patriarca Abraham. | Sobre el hijo (Taré): Padre de Abraham, Nacor y Harán; salió de Ur con su familia rumbo a Canaán, muriendo en Harán.	Sentencia 11: Nacor es padre de Taré
Taré		Abraham		M	Ur de los Caldeos	Retraso o cabra montés	1 Crónicas 1 [Cruces: Taré: Génesis 11:24-32; Josué 24:2; Lucas 3:34; Abraham: Génesis 11:26 a 25:10; Romanos 4; Gálatas 3; Lucas 3:34; Mateo 1:1-2]	Sobre el padre (Taré): Padre de Abraham, Nacor y Harán; salió de Ur con su familia rumbo a Canaán, muriendo en Harán. | Sobre el hijo (Abraham): Padre de la fe y progenitor del pueblo de Israel y de los árabes; recibió la promesa divina del pacto.	Sentencia 11: Taré es padre de Abraham
Abraham		Isaac	1	M	Beerseba	Padre de una multitud	1 Crónicas 1 [Cruces: Abraham: Génesis 11:26 a 25:10; Romanos 4; Gálatas 3; Lucas 3:34; Mateo 1:1-2; Isaac: Génesis 21 a 35; Gálatas 4:21-31; Hebreos 11:20; Mateo 1:2]	Sobre el padre (Abraham): Padre de la fe y progenitor del pueblo de Israel y de los árabes; recibió la promesa divina del pacto. | Sobre el hijo (Isaac): Hijo de la promesa nacido de Abraham y Sara en su vejez extrema; padre de Jacob y Esaú.	Sentencia 12: Hijos de Abraham: Isaac e Ismael
Abraham		Ismael	2	M	Ur de los Caldeos (padre)	Padre de una multitud	1 Crónicas 1 [Cruces: Abraham: Génesis 11:26 a 25:10; Romanos 4; Gálatas 3; Lucas 3:34; Mateo 1:1-2]	Sobre el padre (Abraham): Padre de la fe y progenitor del pueblo de Israel y de los árabes; recibió la promesa divina del pacto.	Sentencia 12: Hijos de Abraham: Isaac e Ismael
Jocsán		Seba	1	M			1 Crónicas 1		Sentencia 15: Los hijos de Jocsán: Seba y Dedán
Jocsán		Dedán	2	M			1 Crónicas 1		Sentencia 15: Los hijos de Jocsán: Seba y Dedán
Madián		Efa	1	M			1 Crónicas 1		Sentencia 16: Hijos de Madián: Efa, Efer, Hanoc, Abida y Elda
Madián		Efer	2	M			1 Crónicas 1		Sentencia 16: Hijos de Madián: Efa, Efer, Hanoc, Abida y Elda
Madián		Hanoc	3	M			1 Crónicas 1		Sentencia 16: Hijos de Madián: Efa, Efer, Hanoc, Abida y Elda
Madián		Abida	4	M			1 Crónicas 1		Sentencia 16: Hijos de Madián: Efa, Efer, Hanoc, Abida y Elda
Madián		Elda	5	M			1 Crónicas 1		Sentencia 16: Hijos de Madián: Efa, Efer, Hanoc, Abida y Elda
Isaac		Esaú	1	M	Canaán	Él reirá / Risa	1 Crónicas 1 [Cruces: Isaac: Génesis 21 a 35; Gálatas 4:21-31; Hebreos 11:20; Mateo 1:2; Esaú: Génesis 25:21-34, Cap 27, Cap 36; Romanos 9:13; Hebreos 12:16-17]	Sobre el padre (Isaac): Hijo de la promesa nacido de Abraham y Sara en su vejez extrema; padre de Jacob y Esaú. | Sobre el hijo (Esaú): Hijo primogénito de Isaac y Rebeca; vendió su primogenitura por comida y fundó la nación de Edom.	Sentencia 19: Hijos de Isaac: Esaú e Israel
Isaac		Israel	2	M	Canaán	Él reirá / Risa	1 Crónicas 1 [Cruces: Isaac: Génesis 21 a 35; Gálatas 4:21-31; Hebreos 11:20; Mateo 1:2; Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2]	Sobre el padre (Isaac): Hijo de la promesa nacido de Abraham y Sara en su vejez extrema; padre de Jacob y Esaú. | Sobre el hijo (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus.	Sentencia 19: Hijos de Isaac: Esaú e Israel
Esaú		Elifaz	1	M	Canaán (padre)	Velludo o hecho	1 Crónicas 1 [Cruces: Esaú: Génesis 25:21-34, Cap 27, Cap 36; Romanos 9:13; Hebreos 12:16-17]	Sobre el padre (Esaú): Hijo primogénito de Isaac y Rebeca; vendió su primogenitura por comida y fundó la nación de Edom.	Sentencia 20: Hijos de Esaú: Elifaz, Reuel, Jeús, Jaalam y Coré
Esaú		Reuel	2	M	Canaán (padre)	Velludo o hecho	1 Crónicas 1 [Cruces: Esaú: Génesis 25:21-34, Cap 27, Cap 36; Romanos 9:13; Hebreos 12:16-17]	Sobre el padre (Esaú): Hijo primogénito de Isaac y Rebeca; vendió su primogenitura por comida y fundó la nación de Edom.	Sentencia 20: Hijos de Esaú: Elifaz, Reuel, Jeús, Jaalam y Coré
Esaú		Jeús	3	M	Canaán (padre)	Velludo o hecho	1 Crónicas 1 [Cruces: Esaú: Génesis 25:21-34, Cap 27, Cap 36; Romanos 9:13; Hebreos 12:16-17]	Sobre el padre (Esaú): Hijo primogénito de Isaac y Rebeca; vendió su primogenitura por comida y fundó la nación de Edom.	Sentencia 20: Hijos de Esaú: Elifaz, Reuel, Jeús, Jaalam y Coré
Esaú		Jaalam	4	M	Canaán (padre)	Velludo o hecho	1 Crónicas 1 [Cruces: Esaú: Génesis 25:21-34, Cap 27, Cap 36; Romanos 9:13; Hebreos 12:16-17]	Sobre el padre (Esaú): Hijo primogénito de Isaac y Rebeca; vendió su primogenitura por comida y fundó la nación de Edom.	Sentencia 20: Hijos de Esaú: Elifaz, Reuel, Jeús, Jaalam y Coré
Esaú		Coré	5	M	Canaán (padre)	Velludo o hecho	1 Crónicas 1 [Cruces: Esaú: Génesis 25:21-34, Cap 27, Cap 36; Romanos 9:13; Hebreos 12:16-17]	Sobre el padre (Esaú): Hijo primogénito de Isaac y Rebeca; vendió su primogenitura por comida y fundó la nación de Edom.	Sentencia 20: Hijos de Esaú: Elifaz, Reuel, Jeús, Jaalam y Coré
Elifaz		Temán	1	M			1 Crónicas 1		Sentencia 21: Hijos de Elifaz: Temán, Omar, Zefo, Gatam, Cenaz, y el de Timna, Amalec
Elifaz		Omar	2	M			1 Crónicas 1		Sentencia 21: Hijos de Elifaz: Temán, Omar, Zefo, Gatam, Cenaz, y el de Timna, Amalec
Elifaz		Zefo	3	M			1 Crónicas 1		Sentencia 21: Hijos de Elifaz: Temán, Omar, Zefo, Gatam, Cenaz, y el de Timna, Amalec
Elifaz		Gatam	4	M			1 Crónicas 1		Sentencia 21: Hijos de Elifaz: Temán, Omar, Zefo, Gatam, Cenaz, y el de Timna, Amalec
Elifaz		Cenaz	5	M			1 Crónicas 1		Sentencia 21: Hijos de Elifaz: Temán, Omar, Zefo, Gatam, Cenaz, y el de Timna, Amalec
Elifaz		Amalec	7	M			1 Crónicas 1		Sentencia 21: Hijos de Elifaz: Temán, Omar, Zefo, Gatam, Cenaz, y el de Timna, Amalec
Reuel		Nahat	1	M			1 Crónicas 1		Sentencia 22: Hijos de Reuel: Nahat, Zera, Sama y Miza
Reuel		Zera	2	M			1 Crónicas 1		Sentencia 22: Hijos de Reuel: Nahat, Zera, Sama y Miza
Reuel		Sama	3	M			1 Crónicas 1		Sentencia 22: Hijos de Reuel: Nahat, Zera, Sama y Miza
Reuel		Miza	4	M			1 Crónicas 1		Sentencia 22: Hijos de Reuel: Nahat, Zera, Sama y Miza
Seir		Lotán	1	M			1 Crónicas 1		Sentencia 23: Hijos de Seir: Lotán, Sobal, Zibeón, Aná, Disón, Ezer y Disán
Seir		Sobal	2	M			1 Crónicas 1		Sentencia 23: Hijos de Seir: Lotán, Sobal, Zibeón, Aná, Disón, Ezer y Disán
Seir		Zibeón	3	M			1 Crónicas 1		Sentencia 23: Hijos de Seir: Lotán, Sobal, Zibeón, Aná, Disón, Ezer y Disán
Seir		Aná	4	M			1 Crónicas 1		Sentencia 23: Hijos de Seir: Lotán, Sobal, Zibeón, Aná, Disón, Ezer y Disán
Seir		Disón	5	M			1 Crónicas 1		Sentencia 23: Hijos de Seir: Lotán, Sobal, Zibeón, Aná, Disón, Ezer y Disán
Seir		Ezer	6	M			1 Crónicas 1		Sentencia 23: Hijos de Seir: Lotán, Sobal, Zibeón, Aná, Disón, Ezer y Disán
Seir		Disán	7	M			1 Crónicas 1		Sentencia 23: Hijos de Seir: Lotán, Sobal, Zibeón, Aná, Disón, Ezer y Disán
Lotán		Hori	1	M			1 Crónicas 1		Sentencia 24: Hijos de Lotán: Hori y Homam; y Timna fue hermana de Lotán
Lotán		Homam	2	M			1 Crónicas 1		Sentencia 24: Hijos de Lotán: Hori y Homam; y Timna fue hermana de Lotán
Sobal		Alván	1	M			1 Crónicas 1		Sentencia 25: Hijos de Sobal: Alván, Manahat, Ebal, Sefo y Onam
Sobal		Manahat	2	M			1 Crónicas 1		Sentencia 25: Hijos de Sobal: Alván, Manahat, Ebal, Sefo y Onam
Sobal		Ebal	3	M			1 Crónicas 1		Sentencia 25: Hijos de Sobal: Alván, Manahat, Ebal, Sefo y Onam
Sobal		Sefo	4	M			1 Crónicas 1		Sentencia 25: Hijos de Sobal: Alván, Manahat, Ebal, Sefo y Onam
Sobal		Onam	5	M			1 Crónicas 1		Sentencia 25: Hijos de Sobal: Alván, Manahat, Ebal, Sefo y Onam
Zibeón		Aja	1	M			1 Crónicas 1		Sentencia 26: Hijos de Zibeón: Aja y Aná
Zibeón		Aná	2	M			1 Crónicas 1		Sentencia 26: Hijos de Zibeón: Aja y Aná
Disón		Amram	1	M			1 Crónicas 1		Sentencia 27: Disón fue hijo de Aná; y los hijos de Disón: Amram, Esbán, Itrán y Querán
Disón		Esbán	2	M			1 Crónicas 1		Sentencia 27: Disón fue hijo de Aná; y los hijos de Disón: Amram, Esbán, Itrán y Querán
Disón		Itrán	3	M			1 Crónicas 1		Sentencia 27: Disón fue hijo de Aná; y los hijos de Disón: Amram, Esbán, Itrán y Querán
Disón		Querán	4	M			1 Crónicas 1		Sentencia 27: Disón fue hijo de Aná; y los hijos de Disón: Amram, Esbán, Itrán y Querán
Ezer		Bilhán	1	M			1 Crónicas 1		Sentencia 28: Hijos de Ezer: Bilhán, Zaaván y Jaacán
Ezer		Zaaván	2	M			1 Crónicas 1		Sentencia 28: Hijos de Ezer: Bilhán, Zaaván y Jaacán
Ezer		Jaacán	3	M			1 Crónicas 1		Sentencia 28: Hijos de Ezer: Bilhán, Zaaván y Jaacán
Disán		Uz	1	M			1 Crónicas 1		Sentencia 29: Hijos de Disán: Uz y Arán
Disán		Arán	2	M			1 Crónicas 1		Sentencia 29: Hijos de Disán: Uz y Arán
Beor		Bela		M			1 Crónicas 1		Sentencia 30: Y estos  sus reyes: Bela hijo de Beor, y el nombre de su ciudad era Dinaba
Israel		Rubén	1	M	Padan-aram	El que lucha con Dios / Príncipe de Dios	1 Crónicas 2 [Cruces: Israel: Génesis 25:21 a 49:33; Oseas 12:3-4; Mateo 1:2; Rubén: Génesis 29:32, 35:22, 49:3-4]	Sobre el padre (Israel): Nombre dado a Jacob tras su lucha con el ángel en Peniel; sus doce hijos fundaron las 12 tribus. | Sobre el hijo (Rubén): Hijo primogénito de Jacob y Lea; perdió sus derechos de primogenitura por profanar el lecho de su padre.	Sentencia 40: Estos son los hijos de Israel: Rubén, Simeón, Leví, Judá, Isacar, Zabulón, Dan, José, Benjamín, Neft
